Employee_ID,Name,Age,Gender,Department,Join_Date,Salary,City
101,Anita,29.0,Female,Marketing,2021-04-10,65000.0,Hubli
102,Anita,22.0,MALE,Marketing,05/06/2023,42000.0,Bengaluru
103,Deepak,30.0,male,Sales,10-08-2020,42000.0,Hubli
104,Vikas,31.0,female,Sales,2022/02/15,48000.0,Hubli
105,Kavya,22.0,F,Finance,2023.07.12,45000.0,MYSORE
106,Sneha,,F,Sales,2023.07.12,51000.0,Hubli
107,Pooja,,MALE,Finance,12-01-2022,51000.0,Bangalore
108,Neha,30.0,F,Sales,2023.07.12,65000.0,bengaluru
109,Kavya,24.0,M,Finance,12-01-2022,45000.0,Bengaluru
110,Kavya,31.0,female,Marketing,12-01-2022,65000.0,Hubli
111,Neha,31.0,Female,IT,12-01-2022,,Bengaluru
112,Kiran,24.0,Male,Marketing,15-Mar-2021,42000.0,Bengaluru
113,Pooja,,male,Marketing,2023.07.12,55000.0,Bangalore
114,Vikas,29.0,F,HR,2021-04-10,60000.0,Hubli
115,Rahul,27.0,female,Finance,12-01-2022,60000.0,Hubli
116,Arjun,,MALE,Finance,12-01-2022,51000.0,Bengaluru
117,Kiran,,F,HR,2020/09/18,55000.0,Bangalore
118,Pooja,25.0,Male,IT,10-08-2020,65000.0,MYSORE
119,Nisha,31.0,M,HR,2022/02/15,65000.0,bengaluru
120,Kavya,24.0,male,Sales,2021-04-10,42000.0,bengaluru
121,Meera,30.0,MALE,Marketing,2021-04-10,48000.0,Mysore
122,Anita,,Male,Finance,15-Mar-2021,,bengaluru
123,Meera,22.0,Female,Finance,12-01-2022,42000.0,Bangalore
124,Anita,29.0,female,Sales,2020/09/18,65000.0,Mysore
125,Kavya,25.0,F,Marketing,10-08-2020,48000.0,bengaluru
126,Arjun,27.0,male,IT,2023.07.12,51000.0,Hubli
127,Meera,22.0,female,Marketing,10-08-2020,51000.0,Bengaluru
128,Priya,24.0,M,HR,15-Mar-2021,60000.0,Hubli
129,Priya,27.0,MALE,Sales,2021-04-10,60000.0,Hubli
130,Sneha,24.0,MALE,Sales,05/06/2023,60000.0,bengaluru
131,Deepak,31.0,M,HR,10-08-2020,51000.0,Hubli
132,Priya,22.0,male,Sales,2023.07.12,51000.0,Hubli
133,Anita,30.0,M,Finance,2020/09/18,,bengaluru
134,Kiran,30.0,female,HR,05/06/2023,45000.0,Bangalore
135,Aman,22.0,male,IT,12-01-2022,51000.0,Bengaluru
136,Nisha,24.0,Male,HR,2021-04-10,42000.0,bengaluru
137,Priya,,Female,IT,2023.07.12,65000.0,Mysore
138,Kiran,30.0,Male,IT,15-Mar-2021,42000.0,bengaluru
139,Rahul,22.0,Male,Sales,10-08-2020,55000.0,Hubli
140,Pooja,31.0,female,IT,12-01-2022,65000.0,Hubli
141,Pooja,22.0,male,HR,05/06/2023,60000.0,Bengaluru
142,Vikas,25.0,Male,HR,15-Mar-2021,65000.0,Hubli
143,Arjun,22.0,F,Marketing,15-Mar-2021,55000.0,Mysore
144,Arjun,22.0,Female,IT,2021-04-10,45000.0,MYSORE
145,Meera,24.0,M,HR,2022/02/15,65000.0,Mysore
146,Priya,27.0,Female,Marketing,2023.07.12,65000.0,Mysore
147,Priya,31.0,Male,IT,2020/09/18,60000.0,Mysore
148,Deepak,30.0,MALE,Finance,2023.07.12,48000.0,Hubli
149,Nisha,27.0,Male,IT,10-08-2020,45000.0,Bangalore
150,Meera,29.0,Female,Marketing,12-01-2022,42000.0,Bengaluru
111,Neha,31.0,Female,IT,12-01-2022,,Bengaluru
121,Meera,30.0,MALE,Marketing,2021-04-10,48000.0,Mysore
