Employee_ID,Name,Age,Gender,Department,Join_Date,Salary,City
101,Anita,29.0,Female,Marketing,2021-04-10,65000.0,Hubli
102,Anita,22.0,Male,Marketing,,42000.0,Bengaluru
103,Deepak,30.0,Male,Sales,,42000.0,Hubli
104,Vikas,31.0,Female,Sales,,48000.0,Hubli
105,Kavya,22.0,Female,Finance,,45000.0,Mysore
106,Sneha,26.711111111111112,Female,Sales,,51000.0,Hubli
107,Pooja,26.711111111111112,Male,Finance,,51000.0,Bengaluru
108,Neha,30.0,Female,Sales,,65000.0,Bengaluru
109,Kavya,24.0,Male,Finance,,45000.0,Bengaluru
110,Kavya,31.0,Female,Marketing,,65000.0,Hubli
111,Neha,31.0,Female,IT,,53416.666666666664,Bengaluru
112,Kiran,24.0,Male,Marketing,,42000.0,Bengaluru
113,Pooja,26.711111111111112,Male,Marketing,,55000.0,Bengaluru
114,Vikas,29.0,Female,HR,2021-04-10,60000.0,Hubli
115,Rahul,27.0,Female,Finance,,60000.0,Hubli
116,Arjun,26.711111111111112,Male,Finance,,51000.0,Bengaluru
117,Kiran,26.711111111111112,Female,HR,,55000.0,Bengaluru
118,Pooja,25.0,Male,IT,,65000.0,Mysore
119,Nisha,31.0,Male,HR,,65000.0,Bengaluru
120,Kavya,24.0,Male,Sales,2021-04-10,42000.0,Bengaluru
121,Meera,30.0,Male,Marketing,2021-04-10,48000.0,Mysore
122,Anita,26.711111111111112,Male,Finance,,53416.666666666664,Bengaluru
123,Meera,22.0,Female,Finance,,42000.0,Bengaluru
124,Anita,29.0,Female,Sales,,65000.0,Mysore
125,Kavya,25.0,Female,Marketing,,48000.0,Bengaluru
126,Arjun,27.0,Male,IT,,51000.0,Hubli
127,Meera,22.0,Female,Marketing,,51000.0,Bengaluru
128,Priya,24.0,Male,HR,,60000.0,Hubli
129,Priya,27.0,Male,Sales,2021-04-10,60000.0,Hubli
130,Sneha,24.0,Male,Sales,,60000.0,Bengaluru
131,Deepak,31.0,Male,HR,,51000.0,Hubli
132,Priya,22.0,Male,Sales,,51000.0,Hubli
133,Anita,30.0,Male,Finance,,53416.666666666664,Bengaluru
134,Kiran,30.0,Female,HR,,45000.0,Bengaluru
135,Aman,22.0,Male,IT,,51000.0,Bengaluru
136,Nisha,24.0,Male,HR,2021-04-10,42000.0,Bengaluru
137,Priya,26.711111111111112,Female,IT,,65000.0,Mysore
138,Kiran,30.0,Male,IT,,42000.0,Bengaluru
139,Rahul,22.0,Male,Sales,,55000.0,Hubli
140,Pooja,31.0,Female,IT,,65000.0,Hubli
141,Pooja,22.0,Male,HR,,60000.0,Bengaluru
142,Vikas,25.0,Male,HR,,65000.0,Hubli
143,Arjun,22.0,Female,Marketing,,55000.0,Mysore
144,Arjun,22.0,Female,IT,2021-04-10,45000.0,Mysore
145,Meera,24.0,Male,HR,,65000.0,Mysore
146,Priya,27.0,Female,Marketing,,65000.0,Mysore
147,Priya,31.0,Male,IT,,60000.0,Mysore
148,Deepak,30.0,Male,Finance,,48000.0,Hubli
149,Nisha,27.0,Male,IT,,45000.0,Bengaluru
150,Meera,29.0,Female,Marketing,,42000.0,Bengaluru
